Posicao,acao,PL,cotacao,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PACL,EVEBIT,EVEBITDA,MrgEbit,MrgLiq,LiqCorr,ROIC,ROE,Liq2meses,PatLiq,DivBrutPat,Cresc5anos
1,GFSA3,-537.01,2.29,0.47,0.667,0.00,0.190,0.65,8.30,2.19,16.46,14.63,0.0804,-0.001,1.75,0.0265,-0.0009,21513900.00,1630560000.00,0.78,0.188
2,DASA3,-338.03,37.26,2.81,2.200,0.0067,1.149,7.10,494.85,-7.02,529.68,25.27,0.0044,-0.0056,1.61,0.0033,-0.0083,8770730.00,7265200000.00,0.79,0.2754
3,MAPT4,-317.06,37.95,-5.94,0.000,0.00,45.118,-3170.55,-371.02,-5.25,-371.02,-371.02,0.00,0.00,0.00,-0.1234,0.0187,175.47,-5876000.00,0.00,0.00
4,CBEE3,-238.92,23.48,1.07,0.571,0.00,0.261,-4.19,61.26,-0.46,129.91,14.70,0.0093,-0.0024,0.75,0.0048,-0.0045,12115.70,3647310000.00,1.29,0.0782
5,SBFG3,-188.02,23.75,3.04,1.604,0.00,0.871,4.54,47.82,-4.09,63.19,19.13,0.0335,-0.0085,1.62,0.022,-0.0162,29207800.00,1898800000.00,1.18,0.3019
6,WEST3,-180.89,3.98,1.09,1.607,0.00,0.825,1.25,-18.40,1.36,-3.14,-4.09,-0.0873,-0.0089,4.62,-0.2324,-0.006,4990350.00,403271000.00,0.08,0.00
7,AMER3,-141.88,33.72,1.94,2.287,0.00,0.709,2.32,72.31,-21.25,76.33,29.00,0.0316,-0.0161,2.04,0.0181,-0.0136,273164000.00,15730600000.00,0.95,0.1177
8,NORD3,-91.71,16.22,-0.76,59.235,0.00,6.189,-2.29,-91.17,-0.68,-122.80,-122.80,-0.6498,-0.6459,0.03,-0.07,0.0083,45428.50,-140838000.00,-0.26,0.5756
9,OMGE3,-58.60,32.02,1.80,4.273,0.00,0.615,12.90,13.57,-1.18,24.89,14.35,0.3148,-0.0789,1.75,0.0483,-0.0306,51015100.00,3508890000.00,1.65,0.4549
10,CVCB3,-53.96,17.10,24.93,7.597,0.00,0.814,-12.76,-6.71,-2.12,-7.64,-11.73,-1.1315,-0.1582,0.90,-0.1573,-0.462,172983000.00,154293000.00,7.69,-0.1565
11,HBSA3,-44.04,3.28,1.68,1.675,0.00,0.423,4.81,8.65,-0.74,21.23,10.55,0.1936,-0.038,2.02,0.0547,-0.0381,16473400.00,1484430000.00,2.80,0.4813
12,ELMD3,-38.45,15.65,2.95,7.895,0.00,1.354,4.75,-37.72,-18.93,-37.50,178.65,-0.2093,-0.2081,2.55,-0.0675,-0.0766,2950350.00,738743000.00,0.91,0.00
13,TELB3,-30.21,49.00,2.23,12.175,0.00,0.818,3.10,-10.40,-2.60,-8.22,-34.88,-1.1703,-0.403,5.84,-0.1035,-0.0739,62892.30,1490290000.00,0.16,0.6948
14,ORVR3,-28.66,25.20,4.78,4.727,0.00,1.862,9.09,33.08,-12.91,33.73,18.31,0.1429,-0.0824,1.81,0.0814,-0.1669,17282600.00,376508000.00,0.80,0.00
15,HBRE3,-27.71,12.20,0.71,16.534,0.00,0.372,3.58,19.24,-1.80,25.13,24.92,0.8593,-0.6437,2.25,0.0237,-0.0256,347754.00,1772950000.00,0.55,0.00
16,EMBR3,-25.35,24.25,1.29,0.705,0.00,0.347,1.17,12.96,-2.35,19.77,10.74,0.0544,-0.0277,2.08,0.0375,-0.051,263542000.00,13877400000.00,1.56,-0.0017
17,OPCT3,-25.04,3.78,0.86,1.136,0.00,0.377,2.12,286.96,-1.75,436.10,10.12,0.004,-0.0176,2.06,0.0018,-0.0343,8909720.00,880290000.00,0.98,0.00
18,ECPR3,-23.98,79.89,1.05,0.000,0.00,0.556,-1297.36,-77.52,-1.19,-77.33,-77.45,0.00,0.00,0.93,-0.0072,-0.0439,371.58,144245000.00,0.00,0.00
19,TCNO3,-20.08,2.87,85.58,0.000,0.00,0.081,-0.19,-7.28,-0.10,-20.16,-17.63,0.00,0.00,0.29,-0.015,-4.2613,204841.00,222000.00,151.52,-0.1057
